,CustomerID,TenureMonths,MonthlyCharges,ContractType,InternetService,PaymentMethod,Churn,Churn_Flag
0,CUST110179,20,110.54,Month-to-month,No,Electronic check,no,0
1,CUST109988,46,43.86,Month-to-month,Fiber optic,Electronic check,no,0
2,CUST109553,32,51.47,One year,DSL,Bank transfer,yes,1
3,CUST109859,24,39.7,month to month,DSL,,no,0
4,CUST107698,15,85.41,One year,Fiber optic,Credit card,yes,1
5,CUST108748,45,119.66,,No,Mailed check,yes,1
6,CUST110350,52,33.15,Month-to-month,Fiber optic,Credit card,no,0
7,CUST102585,11,110.45,Month-to-month,DSL,Credit card,no,0
8,CUST101416,5,55.7,Two year,Fiber optic,Credit card,nan,0
9,CUST106985,23,83.65,,No,Credit card,no,0
10,CUST101274,13,67.26,Month-to-month,Fiber optic,Credit card,nan,0
11,CUST102116,11,30.21,Month-to-month,DSL,Mailed check,no,0
12,CUST109670,23,29.87,Month-to-month,Fiber optic,Electronic check,no,0
13,CUST103950,32,113.29,Month-to-month,Fiber optic,Bank transfer,yes,1
14,CUST100836,60,59.97,Month-to-month,Fiber optic,Mailed check,yes,1
15,CUST101436,45,79.7,Month-to-month,Fiber optic,Credit card,no,0
16,CUST101405,30,93.47,Month-to-month,Fiber optic,Bank transfer,no,0
17,CUST108311,2,102.09,Month-to-month,DSL,Bank transfer,no,0
18,CUST108821,77,44.56,Month-to-month,DSL,Mailed check,yes,1
19,CUST101660,21,66.41,One year,DSL,electronic check,no,0
20,CUST100959,42,83.78,Month-to-month,Fiber optic,Mailed check,no,0
21,CUST106247,13,9999.0,Month-to-month,Fiber optic,Credit card,yes,1
22,CUST102763,13,21.09,Month-to-month,DSL,Mailed check,no,0
23,CUST104446,38,49.65,Month-to-month,No,Credit card,no,0
24,CUST102862,5,103.08,,No,Mailed check,no,0
25,CUST109419,23,70.06,Month-to-month,Fiber optic,Bank transfer,no,0
26,CUST103836,20,96.46,One year,No,Mailed check,no,0
27,CUST104801,30,115.73,Two year,Fiber optic,Bank transfer,no,0
28,CUST102438,38,71.41,Month-to-month,DSL,Bank transfer,yes,1
29,CUST107458,43,117.79,Month-to-month,DSL,Credit card,yes,1
30,CUST100706,4,29.52,month to month,Fiber optic,,no,0
31,CUST107088,30,67.87,One year,DSL,Mailed check,no,0
32,CUST110261,20,33.91,Month-to-month,Fiber optic,Credit card,no,0
33,CUST106671,6,25.23,Two year,Fiber optic,Credit card,no,0
34,CUST100020,35,98.71,,No,Electronic check,no,0
35,CUST106570,20,70.06,One year,DSL,Credit card,no,0
36,CUST106551,25,88.22,Two year,Fiber optic,Electronic check,no,0
37,CUST102473,19,77.58,Month-to-month,,Electronic check,no,0
38,CUST109715,32,42.79,month to month,Fiber optic,,no,0
39,CUST104815,4,106.31,One year,Fiber optic,Electronic check,no,0
40,CUST101574,16,80.73,Month-to-month,DSL,Electronic check,yes,1
41,CUST109697,5,116.3,Month-to-month,DSL,Credit card,no,0
42,CUST101981,6,36.01,Two year,Fiber optic,Credit card,no,0
43,CUST102874,38,57.87,Two year,Fiber optic,Electronic check,nan,0
44,CUST105318,27,118.38,month to month,DSL,Credit card,yes,1
45,CUST104322,26,65.6,Two year,Fiber optic,Credit card,no,0
46,CUST102711,13,50.79,,DSL,Credit card,no,0
47,CUST108217,9,50.88,,DSL,Electronic check,yes,1
48,CUST103053,10,86.13,Month-to-month,DSL,Mailed check,yes,1
49,CUST105980,23,70.06,Month-to-month,Fiber optic,Electronic check,no,0
50,CUST110709,14,115.49,One year,DSL,Mailed check,nan,0
51,CUST109371,15,65.23,One year,DSL,Mailed check,no,0
52,CUST109134,11,105.36,Two year,DSL,Bank transfer,yes,1
53,CUST110120,49,99.81,Two year,Fiber optic,electronic check,no,0
54,CUST102496,20,101.08,One year,No,Mailed check,no,0
55,CUST108370,22,61.57,Two year,DSL,Bank transfer,no,0
56,CUST102778,20,71.93,Month-to-month,No,Mailed check,yes,1
57,CUST104453,11,66.54,Month-to-month,DSL,Electronic check,no,0
58,CUST101953,6,103.68,Month-to-month,Fiber optic,Bank transfer,yes,1
59,CUST110132,13,70.06,Month-to-month,Fiber optic,Electronic check,nan,0
60,CUST108378,20,76.6,Month-to-month,DSL,Electronic check,no,0
61,CUST104367,25,104.09,One year,Fiber optic,Electronic check,no,0
62,CUST100732,24,38.59,One year,DSL,Bank transfer,no,0
63,CUST106918,4,34.9,Month-to-month,No,,no,0
64,CUST102191,26,70.06,Month-to-month,DSL,Credit card,no,0
65,CUST109981,57,102.6,Month-to-month,Fiber optic,Mailed check,no,0
66,CUST108239,9,22.5,One year,DSL,Bank transfer,no,0
67,CUST106072,25,73.49,Month-to-month,Fiber optic,Credit card,no,0
68,CUST105251,45,53.56,Month-to-month,Fiber optic,Mailed check,no,0
69,CUST107341,26,66.41,month to month,DSL,Electronic check,no,0
70,CUST109811,17,108.35,Month-to-month,DSL,Credit card,no,0
