CustomerID,TenureMonths,MonthlyCharges,ContractType,InternetService,PaymentMethod,Churn
CUST110179,20.0,110.54,Month-to-month,No,Electronic check,No
CUST109988,46.0,43.86,Month-to-month,Fiber optic,Electronic check,No
CUST109553,32.0,51.47,One year,DSL,Bank transfer, yes
CUST109859,24.0,39.7,month to month,DSL,,No
CUST107698,15.0,85.41,One year,Fiber optic,Credit card,Yes
CUST108748,45.0,119.66,,No,Mailed check,Yes
CUST110350,52.0,33.15,Month-to-month,Fiber optic,Credit card,No
CUST102585,11.0,110.45,Month-to-month,DSL,Credit card,NO 
CUST101416,5.0,55.7,Two year,Fiber optic,Credit card,
CUST106985,23.0,83.65,,No,Credit card,No
CUST101274,13.0,67.26,Month-to-month,Fiber optic,Credit card,
CUST102116,11.0,30.21,Month-to-month,DSL,Mailed check,NO 
CUST109670,23.0,29.87,Month-to-month,Fiber optic,Electronic check,No
CUST103950,32.0,113.29,Month-to-month,Fiber optic,Bank transfer,Yes
CUST100836,60.0,59.97,Month-to-month,Fiber optic,Mailed check,Yes
CUST101436,45.0,79.7,Month-to-month,Fiber optic,Credit card,No
CUST101405,30.0,93.47,Month-to-month,Fiber optic,Bank transfer,No
CUST108311,2.0,102.09,Month-to-month,DSL,Bank transfer,No
CUST108821,77.0,44.56,Month-to-month,DSL,Mailed check,Yes
CUST101660,21.0,66.41,One year,DSL, electronic check ,No
CUST100959,42.0,83.78,Month-to-month,Fiber optic,Mailed check,No
CUST106247,13.0,9999.0,Month-to-month,Fiber optic,Credit card,Yes
CUST102763,13.0,21.09,Month-to-month,DSL,Mailed check,No
CUST104446,38.0,49.65,Month-to-month,No,Credit card,No
CUST102862,5.0,103.08,,No,Mailed check,No
CUST109419,23.0,,Month-to-month,Fiber optic,Bank transfer,No
CUST103836,,96.46,One year,No,Mailed check,No
CUST104801,30.0,115.73,Two year,Fiber optic,Bank transfer,No
CUST102438,38.0,71.41,Month-to-month,DSL,Bank transfer,Yes
